text,label_text,label_id,pre_defined
this song was very good,music likeness,12,False
change the volume,audio volume other,19,True
enable shuffle,music settings,16,True
save settings,music settings,16,True
set brightness to fifty percent,iot hue lightchange,2,True
turn down the brightness,iot hue lightdim,4,False
reduce the brightness,iot hue lightdim,4,False
decrease brightness,iot hue lightdim,4,False
dim the lights,iot hue lightdim,4,False
olly dim the lights,iot hue lightdim,4,False
make me a coffee,iot coffee,20,False
olly make me a coffee,iot coffee,20,False
i need a coffee,iot coffee,20,False
i fancy some coffee now,iot coffee,20,False
set alarm at ten am,alarm set,1,True
tell me the weather,weather query,15,True
what is the weather now,weather query,15,True
is it raining now,weather query,15,True
turn on my michael jackson playlist,play music,6,True
play michael jackson from my playlist,play music,6,True
play last song from my favorite playlist,play music,6,True
turn up the volume,audio volume up,21,True
turn on the plug,iot wemo on,22,False
switch on the plug,iot wemo on,22,False
turn on my plug,iot wemo on,22,False
tell me some joke,general joke,17,False
do you know any joke,general joke,17,False
what is the time,datetime query,8,True
tell me the time,datetime query,8,True
does dominoes do takeaway,takeaway query,10,False
does my favorite pizza place available for takeaway,takeaway query,10,False
can i order takeaway from spanish place,takeaway order,14,True
show me the alarms i set,alarm query,11,False
do i have any alarms,alarm query,11,False
show alarms,alarm query,11,False
how's the weather like in beijing,weather query,15,True
tell me the weather in shanghai,weather query,15,True
please make the lights reading friendly,iot hue lightchange,2,True
please make the lights watching friendly,iot hue lightchange,2,True
what's date today,datetime query,8,True
what day is today,datetime query,8,True
tell me a date,datetime query,8,True
is it raining outside olly,weather query,15,True
change the lights into green,iot hue lightchange,2,True
add this song to my favorite list,music likeness,12,False
what is this song,music query,13,False
olly lights off,iot hue lightoff,3,True
lights off,iot hue lightoff,3,True
clean the floor please,iot cleaning,5,False
turn on the rice cooker socket,iot wemo on,22,False
turn off the rice cooker socket,iot wemo off,23,True
could you please help me to order some sushi from deliveroo,takeaway order,14,True
set an alarm for four in the afternoon,alarm set,1,True
olly alert me at three p. m. to go to the concert,alarm set,1,True
alert me at three p. m. to go to the concert,alarm set,1,True
do i have an alarm set for morning flight,alarm query,11,False
are there any alarms,alarm query,11,False
is it raining in barcelona,weather query,15,True
will it rain today,weather query,15,True
what's going on outside,weather query,15,True
play me some hihop,play music,6,True
death metal now,play music,6,True
olly what music do i usually like after work,music query,13,False
olly play music from my favorite pianist,play music,6,True
you're too loud,audio volume down,24,False
i can barely hear you olly,audio volume up,21,True
turn the lights blue,iot hue lightchange,2,True
make the lights shine blue,iot hue lightchange,2,True
olly good night lights off,iot hue lightoff,3,True
what's the time,datetime query,8,True
what is the song,music query,13,False
olly what is the song,music query,13,False
what the singer meant by the title of the song bohemian rhapsody,music query,13,False
who covered the song one more cup of coffee,music query,13,False
what is the weather in paris,weather query,15,True
what is the weather like in toronto,weather query,15,True
do you expect sun on sunday,weather query,15,True
is it going to rain in the evening,weather query,15,True
is it going to be windy tomorrow,weather query,15,True
what time is it in moscow now,datetime query,8,True
vacuum the kitchen,iot cleaning,5,False
what is the forecast for today,weather query,15,True
what is the weather like,weather query,15,True
hey what are you up to,general quirky,7,True
order a pizza from pizza express,takeaway order,14,True
i would like to have a sushi can you order me a lunch,takeaway order,14,True
alexa i would like to have a sushi can you order me a lunch,takeaway order,14,True
order a takeaway sandwich and soup from the italian's,takeaway order,14,True
how many days are left in this year,datetime query,8,True
shall i get an umbrella tomorrow,weather query,15,True
turn on the smart charger,iot wemo on,22,False
happy,weather query,15,True
evening,weather query,15,True
sunday,weather query,15,True
quieter,audio volume down,24,False
i wish to know the weather in s. f.,weather query,15,True
is it snowing in california,weather query,15,True
yo i need a coffee now,iot coffee,20,False
i helped a poor needy today olly,iot coffee,20,False
start the coffee machine,iot coffee,20,False
get a cup of coffee ready now,iot coffee,20,False
how will be the weather tomorrow,weather query,15,True
what is tomorrow's weather predictions,weather query,15,True
will there be snow tomorrow,weather query,15,True
find out if the restaurant does takeaway orders,takeaway query,10,False
search if the restaurant does take out,takeaway query,10,False
is there a take-out menu at the restaurant,takeaway query,10,False
twenty ninth march comes on what day,datetime query,8,True
what's my next alarm,alarm query,11,False
please tell me my alarms,alarm query,11,False
what time will my alarm go off today,alarm query,11,False
can you tell me the time,datetime query,8,True
play the track eight from google play music,play music,6,True
play a song randomly from my playlist,play music,6,True
what is the current date,datetime query,8,True
i want the light switched off can you do it for me,iot hue lightoff,3,True
tell me if the following is true about the weather,weather query,15,True
check the weather app to see if,weather query,15,True
can save this music in my playlist,music likeness,12,False
how about you save this music,music likeness,12,False
please play games by disturbed,play music,6,True
please open my music application and play games by disturbed,play music,6,True
please play the song games by disturbed,play music,6,True
turn off the garage light,iot hue lightoff,3,True
switch the smart plug socket,iot wemo on,22,False
if it is noon in virginia what time is it in california,datetime convert,9,True
what is the time difference between eastern time and pacific time,datetime convert,9,True
play why do you sing by kirk franklin,play music,6,True
will it be warm tomorrow,weather query,15,True
music please,play music,6,True
can you change the light colors in the house,iot hue lightchange,2,True
can you shuffle the light colors in the house,iot hue lightchange,2,True
can you change the light colors into dark in the house,iot hue lightchange,2,True
what alarms do i have set,alarm query,11,False
read me my alarms,alarm query,11,False
what time are my alarms set for,alarm query,11,False
change my room lights to blue,iot hue lightchange,2,True
change my room lights to some romantic color,iot hue lightchange,2,True
set an alarm for me at eight am,alarm set,1,True
make an alarm for four p. m.,alarm set,1,True
make me a wake up alarm for eight forty five am,alarm set,1,True
lights off bathroom,iot hue lightoff,3,True
what is the weather right now outside,weather query,15,True
how warm is it right now outside,weather query,15,True
what day of the month is next tuesday,datetime query,8,True
play bad religion folder,play music,6,True
is it going to rain today,weather query,15,True
repeat album,music settings,16,True
play metallica,play music,6,True
play old-fashioned christmas music,play music,6,True
make coffee,iot coffee,20,False
make coffee olly,iot coffee,20,False
what is today's date,datetime query,8,True
change the lights in the kitchen to blue,iot hue lightchange,2,True
fix the lights in the living room to red,iot hue lightchange,2,True
can you speak a little louder,audio volume up,21,True
i am unable to hear you can you speak little loud,audio volume up,21,True
please speak loud,audio volume up,21,True
i want to listen classical music,play music,6,True
i want to listen jazz,play music,6,True
what day is it,datetime query,8,True
tell me the date and the time,datetime query,8,True
siri what's the date,datetime query,8,True
turn off light,iot hue lightoff,3,True
turn off lamp,iot hue lightoff,3,True
play songs by sia,play music,6,True
open songs by prince,play music,6,True
what time is it in the other time zones,datetime query,8,True
what time zone is arizona,datetime query,8,True
what is the name of song,music query,13,False
what is the length of song,music query,13,False
what is the time in india right now,datetime query,8,True
what time is it right now in australia,datetime query,8,True
what is the temperature outside,weather query,15,True
what's a silly joke you know,general joke,17,False
what's a silly joke you know,general joke,17,False
change the light color to blue,iot hue lightchange,2,True
confirm whether the color is blue,iot hue lightchange,2,True
change the light color to red,iot hue lightchange,2,True
what time is it in des moines,datetime query,8,True
what's the time in denver,datetime query,8,True
confirm the alarm time,alarm query,11,False
which alarms do i have,alarm query,11,False
by our scores,weather query,15,True
play my most played songs,play music,6,True
what's the time,datetime query,8,True
what time is it right now,datetime query,8,True
give me the time,datetime query,8,True
its not possible,weather query,15,True
how much time it will take to prepare the order,takeaway query,10,False
tell me random joke,general joke,17,False
what's your favorite joke,general joke,17,False
by switch off,iot hue lightoff,3,True
by remote sensor,iot hue lightoff,3,True
i need a reminder alarm at one,alarm set,1,True
turn on an alarm for nine am,alarm set,1,True
search the album name with katy perry,music query,13,False
its peaceful,music likeness,12,False
what's the funniest joke,general joke,17,False
tell me a dirty joke,general joke,17,False
play the playlist,play music,6,True
hey olly play the playlist,play music,6,True
please increase the volume of the music hips don't lie,audio volume up,21,True
please lower the shuffle rate of hips don't lie,music settings,16,True
please repeat that music again of akon,music settings,16,True
what song is playing,music query,13,False
who is singing this song,music query,13,False
turn the lights off in the living room,iot hue lightoff,3,True
please set the lights off in the living room,iot hue lightoff,3,True
can i get some background music,play music,6,True
how many alarms are listed,alarm query,11,False
do i have any alarms set for tomorrow,alarm query,11,False
what's the alarm situation for tomorrow,alarm query,11,False
light color change,iot hue lightchange,2,True
change color of lights,iot hue lightchange,2,True
what's the temperature,weather query,15,True
how warm is it,weather query,15,True
how cold is it,weather query,15,True
how many birthday's are on twenty third,datetime query,8,True
is it second saturday on twelfth,datetime query,8,True
is there christmas on twenty second,datetime query,8,True
what is the date,datetime query,8,True
increase volume,audio volume up,21,True
repeat same song for ten times,music settings,16,True
play only particular singer songs,music settings,16,True
play one through ten on list,play music,6,True
please play artist first in queue,play music,6,True
turn off one light on porch,iot hue lightoff,3,True
please turn off the light,iot hue lightoff,3,True
turn the lamp off,iot hue lightoff,3,True
will there be sunset at five thirty p. m. tomorrow,weather query,15,True
is there any chances of rain this week,weather query,15,True
what is the time in the eastern time zone,datetime query,8,True
how warm is it now,weather query,15,True
please turn on the music i want to hear my favorites songs,play music,6,True
can i hear the fifty hits that you can hear on radios now,play music,6,True
please turn on classic music for the dinner now,play music,6,True
can you turn on the hit song of lady gaga,play music,6,True
i want to hear my favorite song from iron maiden,play music,6,True
turn up sound,audio volume up,21,True
turn down volume,audio volume down,24,False
volume louder please,audio volume up,21,True
set alarm to begin,alarm set,1,True
change alarm to start at midnight,alarm set,1,True
what will the weather be like a week from now,weather query,15,True
on tuesday what is the weather supposed to be,weather query,15,True
what is the weekend weather forecast,weather query,15,True
bring back talking after,audio volume up,21,True
please set the alarm for next morning to seven am,alarm set,1,True
play playlist number seven,play music,6,True
play songs from my playlist,play music,6,True
what is the last day of the month,datetime query,8,True
what is the time central,datetime query,8,True
what is the current mountain time,datetime query,8,True
play the last hit song of metallica last album please,play music,6,True
start vacuum,iot cleaning,5,False
what is a funny joke about car,general joke,17,False
tell me a joke about a man,general joke,17,False
remind me to play this song tonight,play music,6,True
please play me a song from my favorite list,play music,6,True
play me a song,play music,6,True
play me a song of adele,play music,6,True
i need you to turn on the vacuum cleaner,iot cleaning,5,False
what will be the highest temperature this week,weather query,15,True
can you tell me what alarms i have set,alarm query,11,False
do i have any alarms set for today,alarm query,11,False
i need to set an alarm how many do i have set,alarm query,11,False
control lights turn off room lights,iot hue lightoff,3,True
can locate some gospel music,play music,6,True
i want to listen to some gospel music,play music,6,True
how is the current weather in california,weather query,15,True
how is the current weather in washington d. c.,weather query,15,True
time now in new york,datetime query,8,True
please can i know what time will it be at six p. m. here in australia,datetime convert,9,True
can you tell how many hours of difference are between boston and los angeles,datetime convert,9,True
turn the lights down,iot hue lightdim,4,False
i need to turn the lights down,iot hue lightdim,4,False
reduce brightness,iot hue lightdim,4,False
order two hamburgers for me,takeaway order,14,True
place order of one pizza,takeaway order,14,True
can you tell me what date it is,datetime query,8,True
can you tell me what time is it,datetime query,8,True
what time is it now,datetime query,8,True
display current time,datetime query,8,True
please turn off the plug socket of my phone when it'll be charged,iot wemo off,23,True
i want you to turn off the plug socket before the cell phone is charged,iot wemo off,23,True
keep me updated on stock market prices,qa stock,25,False
can you play my last song,play music,6,True
play the song by michael jackson,play music,6,True
play the song from last night at six p. m.,play music,6,True
give me the time in washington,datetime query,8,True
give me the time at washington right now,datetime query,8,True
it is too loud decrease the volume,audio volume down,24,False
what is the name of that song that just went off,music query,13,False
i just ordered food call and see it has been delivered,takeaway query,10,False
check on the delivery of my current order,takeaway query,10,False
call the restaurant to see if the delivery is on the way,takeaway query,10,False
what is the weather report,weather query,15,True
how weather info,weather query,15,True
check weather,weather query,15,True
i want the lights less brighter,iot hue lightdim,4,False
please lights less brighter,iot hue lightdim,4,False
tell me something funny,general joke,17,False
i want to hear radio head please,play music,6,True
create an alarm at four o'clock tomorrow morning,alarm set,1,True
make an alarm to wake me up after five hours,alarm set,1,True
schedule an alarm to wake me up after three hours,alarm set,1,True
give weather stat for the week,weather query,15,True
display weather for the week,weather query,15,True
i want to hear the songs of adele,play music,6,True
play enrique iglesias song after this one,play music,6,True
play the latest songs by senelena gomez after this one,play music,6,True
save my music preferences,music likeness,12,False
save my music choices,music likeness,12,False
play music i have liked,play music,6,True
could you please lower your volume,audio volume down,24,False
could you please yell the answer out to me,audio volume up,21,True
what is the temperature today,weather query,15,True
how humid is the environment today,weather query,15,True
play all the latest pop songs,play music,6,True
play happy playlist next,play music,6,True
play song from my trance list,play music,6,True
please decrease the volume of this song,audio volume up,21,True
increase the volume so that i can hear it in other room,audio volume up,21,True
decrease the volume to ten percent,audio volume down,24,False
change this time zone to washington,datetime convert,9,True
change the time in this location to ist,datetime convert,9,True
turn on the wemo plug socket to connect my charger to it,iot wemo on,22,False
turn on the wemo plug socket to plug in my dongle,iot wemo on,22,False
find me the song currently playing,music query,13,False
alert me when the outside temperature reaches sixty eight degrees,weather query,15,True
listen to girl from impanema by frank sinatra,play music,6,True
stream all songs from rock,play music,6,True
add shape of you to the current queue,play music,6,True
how is the weather today,weather query,15,True
what is the temperature right now,weather query,15,True
how was the weather this week,weather query,15,True
show me the highest weather this week,weather query,15,True
is summer going on,weather query,15,True
what are the chances of hail this week,weather query,15,True
confirm alarm for tomorrow morning,alarm query,11,False
what time is the alarm set for tomorrow,alarm query,11,False
could you please recommend a mexican restaurant for take out,takeaway query,10,False
which restaurants offer take out food,takeaway query,10,False
can i order take out food at this time,takeaway order,14,True
ok google lower all volume on speakers please,audio volume down,24,False
make coffee at eight am,iot coffee,20,False
brew coffee at noon,iot coffee,20,False
what day of the month is it,datetime query,8,True
play new gaga playlist,play music,6,True
start new lady gaga playlist,play music,6,True
play lady gaga starting with poker face,play music,6,True
play some music,play music,6,True
go to pandora find twenty one pilots radio play please,play music,6,True
google music find me some enya to listen to,play music,6,True
increase the volume,audio volume up,21,True
put the playlist on shuffle,music settings,16,True
stop repeating this song,music settings,16,True
what is the weather where i am at today,weather query,15,True
ok google what is the weather where i am at today,weather query,15,True
show me the seven day forecast for home please,weather query,15,True
play newest bob dylan playlist,play music,6,True
play the newest bob dylan playlist,play music,6,True
hey its too hot outside what is the temperature this afternoon,weather query,15,True
hey google hey its too hot outside what is the temperature this afternoon,weather query,15,True
is it going to snow this weekend here,weather query,15,True
order take-out pizza from domino's for seven p. m.,takeaway order,14,True
place order to pizza take-out for seven p. m.,takeaway order,14,True
schedule pizza take-out for seven p. m.,takeaway order,14,True
turn the robot vacuum cleaner on,iot cleaning,5,False
what alarms are set right now,alarm query,11,False
what alarms will wake me up tomorrow,alarm query,11,False
are there any alarms set right now,alarm query,11,False
i would like a joke,general joke,17,False
give me a joke,general joke,17,False
a joke please,general joke,17,False
play r. & b. music,play music,6,True
play r. & b.,play music,6,True
r. & b. music,play music,6,True
dim lights,iot hue lightdim,4,False
weather forecast,weather query,15,True
weather today,weather query,15,True
my alarms,alarm query,11,False
robot do the whole house now,iot cleaning,5,False
turn off smart socket,iot wemo off,23,True
wemo plug socket off,iot wemo off,23,True
save opinion,music likeness,12,False
add opinion,music likeness,12,False
turn off light in bedroom,iot hue lightoff,3,True
shutoff light in the kitchen,iot hue lightoff,3,True
switch the light off in bedroom,iot hue lightoff,3,True
play crystal lewis's beauty of the cross for me,play music,6,True
play kari jobe for me,play music,6,True
food order from grubhub,takeaway order,14,True
food order from grubhub,takeaway order,14,True
what time is it in miami florida,datetime query,8,True
what time is it in cleveland ohio,datetime query,8,True
what time is it in honolulu,datetime query,8,True
tell me what time it is right now,datetime query,8,True
what time are we looking at right now,datetime query,8,True
play some tunes for me,play music,6,True
play some calming music for me,play music,6,True
i want to hear some tunes,play music,6,True
play music now,play music,6,True
turn the lights blue at three p. m.,iot hue lightchange,2,True
give me some lavender toned light,iot hue lightchange,2,True
make a jars of clay playlist for me,play music,6,True
find new music from jars of clay for me,play music,6,True
what will the weather be for the next week,weather query,15,True
what will the temperatures be for the next week,weather query,15,True
can you turn on the vacuum,iot cleaning,5,False
please set the vacuum to start going now,iot cleaning,5,False
what time is it in new york,datetime query,8,True
what time is it right now in new york,datetime query,8,True
please tell me the current time in new york,datetime query,8,True
play my favorite pandora station,play radio,26,False
play pandora,play radio,26,False
turn the lights off to my room,iot hue lightoff,3,True
please tell me what time it is,datetime query,8,True
play music from my favorite pandora artist station,play music,6,True
play music from a given artist,play music,6,True
dim the lights a bit,iot hue lightdim,4,False
lower the lights a little more,iot hue lightdim,4,False
who sings this song,music query,13,False
what is the name of this song,music query,13,False
name the singer,music query,13,False
repeat this song,music settings,16,True
please save this song,music likeness,12,False
make this my favorite,music likeness,12,False
change the volume of the speakers,audio volume other,19,True
can you turn on pandora,play radio,26,False
set my alarm please,alarm set,1,True
what is the time in london right now,datetime query,8,True
encourage the students,general quirky,7,True
decentralized design,general quirky,7,True
i like the background song,music likeness,12,False
that song in the background is annoying,music dislikeness,18,True
what is the weather like in new york,weather query,15,True
is the weather bad in new york right now,weather query,15,True
set the alarm for five o'clock in the morning,alarm set,1,True
set my alarm for six thirty in the morning tomorrow,alarm set,1,True
i want the alarm set for six,alarm set,1,True
asking for this technology,iot cleaning,5,False
robot via bluetooth enabled devices,iot cleaning,5,False
dim the lights please,iot hue lightdim,4,False
does pf changs do take-out,takeaway query,10,False
what hour is it in new york now,datetime query,8,True
can you please turn off the lights in this room,iot hue lightoff,3,True
please shut the lights,iot hue lightoff,3,True
please turn the music up,audio volume up,21,True
it's really loud can you please turn the music down,audio volume down,24,False
increase the volume to max please,audio volume up,21,True
change the color of the lights in my house from white to yellow,iot hue lightchange,2,True
change the color of the lights in my bedroom to red,iot hue lightchange,2,True
show me a funny joke,general joke,17,False
play hotel california after this song,play music,6,True
when this song ends play hotel california,play music,6,True
after this song ends i want to hear hotel california next,play music,6,True
play irene from tobymac,play music,6,True
play irene from tobymac,play music,6,True
i want to listen irene,play music,6,True
look for irene and play it,play music,6,True
turn this room light off,iot hue lightoff,3,True
turn off my smart plug socket,iot wemo off,23,True
please turn on my smart plug socket,iot wemo on,22,False
play hopsin from my latest playlist,play music,6,True
i want to hear metallica on my rock playlist,play music,6,True
will the weather be bad on sunday,weather query,15,True
what is the weather going to be this weekend,weather query,15,True
how many hours difference is hong kong from new york city,datetime convert,9,True
what will the weather be today,weather query,15,True
is it going to snow today,weather query,15,True
how is the weather right now,weather query,15,True
is there any rap that doesn't involve sex money and drugs,music query,13,False
in classic all music are there ever any singers,music query,13,False
i want to know if the olive garden provides takeaway,takeaway query,10,False
tell me if the olive garden allows takeaway,takeaway query,10,False
please show me today's date,datetime query,8,True
please turn the lights down,iot hue lightdim,4,False
it is too bright in here dim the lights,iot hue lightdim,4,False
dim the living room lights,iot hue lightdim,4,False
change the media room lights from purple to green,iot hue lightchange,2,True
play the music of justin bieber,play music,6,True
play me the latest song of adele,play music,6,True
is my work alarm set for tomorrow,alarm query,11,False
what alarms do i have set for thursday,alarm query,11,False
what is the best pizza near me that delivers,takeaway order,14,True
can you play the instrumentals of,play music,6,True
can you play songs about break-ups,play music,6,True
change the audio settings,audio volume other,19,True
turn off the bass from the audio,audio volume down,24,False
what is the chance of rain today,weather query,15,True
this song is not very good,music dislikeness,18,True
please save this song to my favorites,music likeness,12,False
do not play this song again,music dislikeness,18,True
start the robot vacuum cleaner at one p. m. today,iot cleaning,5,False
i want the robot vacuum cleaner to start at one p. m. today,iot cleaning,5,False
does the robot vacuum cleaner have to be plugged in,iot cleaning,5,False
show volume settings,audio volume other,19,True
need to see volume settings,audio volume other,19,True
how do you activate the robot vacuum cleaner,iot cleaning,5,False
is there anything i need to know before i activate the robot vacuum cleaner,iot cleaning,5,False
should i be concerned about the robot vacuum cleaner upon startup,general quirky,7,True
turn the lights down in the living room,iot hue lightdim,4,False
please dim the overhead lights,iot hue lightdim,4,False
can you turn down the lights by twenty percent,iot hue lightdim,4,False
enjoyment,play music,6,True
sad,play music,6,True
what will be tomorrow's weather in this location,weather query,15,True
give me tomorrow's weather update,weather query,15,True
show me weather list for tomorrow,weather query,15,True
your volume is too high please repeat that lower,audio volume down,24,False
i couldn't hear you repeat that louder,audio volume up,21,True
play my morning playlist,play music,6,True
play the pre gaming playlist,play music,6,True
play my dance music playlist,play music,6,True
when is the next month that has thirty one days,datetime query,8,True
what's the current weather in new jersey,weather query,15,True
get me the weather forecast of beijing,weather query,15,True
i want to know the weather in nashik,weather query,15,True
i really ska music,music likeness,12,False
i find rap music really enjoyable,music likeness,12,False
play madonnas like a virgin,play music,6,True
play the footloose song,play music,6,True
play one thousand nine hundred and ninety nine by prince,play music,6,True
save all songs from katy perry,music likeness,12,False
gather all my songs from madonna,play music,6,True
play kanye west playlist,play music,6,True
play maroon five playlist,play music,6,True
tell me the date,datetime query,8,True
play the last album on a loop,play music,6,True
play all my favorite songs,play music,6,True
is it going to rain later today,weather query,15,True
tell me the humidity level downtown today,weather query,15,True
put alarm on,alarm set,1,True
set alarm at five thirty am,alarm set,1,True
place alarm at five o'clock morning,alarm set,1,True
call eastwind and order lomaine to go,takeaway order,14,True
place a take out order at olive garden,takeaway order,14,True
order spaghetti from spaghetti warehouse to bring home,takeaway order,14,True
is it the twenty ninth already,datetime query,8,True
tell me what day of the week it is,datetime query,8,True
play my sadness playlist,play music,6,True
please turn on my vacuum cleaner,iot cleaning,5,False
activate the robot vacuum,iot cleaning,5,False
turn on the vacuum now,iot cleaning,5,False
time in new york now,datetime query,8,True
what is the current time in lagos nigeria,datetime query,8,True
use vacuum cleaner in the hall,iot cleaning,5,False
remove dust with vacuum cleaner,iot cleaning,5,False
shut off the lights in the kitchen,iot hue lightoff,3,True
turn off the lights in the bedroom,iot hue lightoff,3,True
tell funny things,general joke,17,False
please set the equalizer in the party mode,music settings,16,True
please play all the songs in high volume and make adjustments to pop music mode,play music,6,True
play all songs by martina mcbride,play music,6,True
play i walk the line by johnny cash,play music,6,True
do i have any music by lady antebellum,music query,13,False
olly i'd like an espresso,iot coffee,20,False
i'd like an espresso,iot coffee,20,False
can i please have a cafe americano,iot coffee,20,False
i need coffee,iot coffee,20,False
olly i need coffee,iot coffee,20,False
play my playlist,play music,6,True
play the song for me,play music,6,True
adjust sound,audio volume other,19,True
give a pleasant sound,audio volume other,19,True
comfortably adjust sound,audio volume other,19,True
who wrote the song i just wanna dance with you,music query,13,False
put a disco track,play music,6,True
play a melody music,play music,6,True
if it's midnight in colorado what time is it in munich,datetime convert,9,True
olly i need to hear notorious thugs by bone thugs now,play music,6,True
play rein in blood by slayer at five am tomorrow to make sure i actually wake up,play music,6,True
i'd love to hear any song that i've given five stars by serge gainsbourg,play music,6,True
tell me what was the temperature in our city at twelve p. m.,weather query,15,True
say something funny,general joke,17,False
olly say something funny,general joke,17,False
check weather update for lagos this week,weather query,15,True
play lady now,play music,6,True
find me a nice restaurant for dinner,recommendation locations,27,False
play imagine dragons,play music,6,True
olly i want blue lighting,iot hue lightchange,2,True
i want blue lighting,iot hue lightchange,2,True
change the lighting to blue,iot hue lightchange,2,True
turn on spotify shuffle,music settings,16,True
repeat this song when it ends,music settings,16,True
please play nightmare by avenged sevenfold,play music,6,True
give me the date of monday on third week of this month,datetime query,8,True
order me a large ham and olive pizza from dominoes,takeaway order,14,True
can you direct me to the menu for the highest rated chinese carry-out near me,takeaway order,14,True
give me options for indian carry-out under dollars,takeaway order,14,True
what is the time in new york now,datetime query,8,True
what is the time at singapore when our time is five p. m.,datetime convert,9,True
can you please change the mood of the light,iot hue lightchange,2,True
please adjust the colors in my lights,iot hue lightchange,2,True
shazaam,play music,6,True
spotify,play music,6,True
hello what time it is now,datetime query,8,True
find a joke in your vault and tell me,general joke,17,False
i like red color for my home change it,iot hue lightchange,2,True
set the color of light to red,iot hue lightchange,2,True
is mr. pizza on skip the dishes,takeaway query,10,False
can you tell me today's date,datetime query,8,True
is there any possibility of rain this week,weather query,15,True
please brief me about this week's weather,weather query,15,True
please give me the time,datetime query,8,True
what was the temperature in new york this morning,weather query,15,True
give me the weather detail of fifteenth march,weather query,15,True
i want to say something about this song,music likeness,12,False
this song is amazing is not it,music likeness,12,False
when is my alarm set for,alarm query,11,False
how many alarms do i have,alarm query,11,False
tell me the current time in central time,datetime query,8,True
does it fall a sunday on fifth december,datetime query,8,True
please make me nice coffee,iot coffee,20,False
change this time to ist,datetime convert,9,True
i want exact time in washington right now,datetime query,8,True
what will be the time now in washington,datetime query,8,True
what is current time,datetime query,8,True
can you tell me current time,datetime query,8,True
i want to listen arijit's songs please tune that,play music,6,True
on the plug,iot wemo on,22,False
off the plug,iot wemo off,23,True
start the smart plug,iot wemo on,22,False
louder,audio volume up,21,True
olly louder,audio volume up,21,True
slow,audio volume up,21,True
hey olly what's today's date,datetime query,8,True
hey what's today's date,datetime query,8,True
can you tell me what the date is today,datetime query,8,True
